State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Maharashtra,Red Mullet,14.47,25.98,234.62 - 345.18,Seasonal
Maharashtra,Red Mullet,19.0,23.17,494.13 - 595.36,Year-round
Maharashtra,Red Mullet,10.88,36.87,261.29 - 362.08,Year-round
Maharashtra,Red Mullet,16.65,28.34,457.19 - 574.52,Year-round
Maharashtra,Horse Mackerel,13.41,28.85,406.59 - 481.92,Year-round
Maharashtra,Horse Mackerel,15.97,30.92,425.79 - 522.3,Seasonal
Maharashtra,Horse Mackerel,17.65,24.55,300.09 - 429.24,Seasonal
Maharashtra,Horse Mackerel,12.66,34.62,321.37 - 419.81,Year-round
Maharashtra,Horse Mackerel,6.14,21.63,441.06 - 581.24,Seasonal
Maharashtra,Horse Mackerel,8.12,11.26,343.78 - 411.95,Seasonal
Maharashtra,Black Sea Sprat,19.52,12.0,394.5 - 451.91,Seasonal
Maharashtra,Black Sea Sprat,12.7,39.68,269.46 - 413.72,Seasonal
Maharashtra,Black Sea Sprat,9.82,16.6,305.16 - 392.41,Year-round
Maharashtra,Black Sea Sprat,15.6,21.23,310.84 - 365.38,Year-round
Maharashtra,Black Sea Sprat,15.63,10.25,265.3 - 381.47,Year-round
Maharashtra,Black Sea Sprat,10.6,28.96,228.61 - 288.98,Seasonal
Maharashtra,Striped Red Mullet,6.0,33.0,375.11 - 503.31,Year-round
Maharashtra,Striped Red Mullet,10.25,30.32,427.55 - 479.01,Year-round
Maharashtra,Striped Red Mullet,14.31,32.27,250.96 - 320.46,Seasonal
Maharashtra,Striped Red Mullet,10.86,14.76,277.47 - 388.01,Year-round
Maharashtra,Striped Red Mullet,14.81,36.67,373.64 - 486.88,Seasonal
Maharashtra,Striped Red Mullet,9.6,22.45,413.83 - 502.45,Seasonal
Maharashtra,Trout,9.71,17.25,264.47 - 356.96,Seasonal
Maharashtra,Trout,15.87,32.37,367.38 - 475.85,Seasonal
Maharashtra,Trout,10.74,34.65,397.85 - 527.48,Seasonal
Maharashtra,Trout,13.24,26.0,391.03 - 515.85,Year-round
Maharashtra,Trout,9.87,18.09,257.28 - 376.74,Year-round
Maharashtra,Trout,14.82,34.71,218.94 - 346.62,Year-round
Maharashtra,Shrimp,16.67,32.83,256.32 - 315.16,Year-round
Maharashtra,Shrimp,16.22,14.52,265.17 - 361.57,Seasonal
Maharashtra,Shrimp,5.51,36.38,273.02 - 378.75,Seasonal
Maharashtra,Shrimp,17.87,33.51,328.7 - 398.8,Seasonal
Maharashtra,Shrimp,9.88,37.03,498.85 - 631.39,Seasonal
Maharashtra,Shrimp,16.22,34.38,412.05 - 558.78,Year-round
Manipur,Gilt Head Bream,19.98,19.8,424.46 - 555.12,Seasonal
Manipur,Gilt Head Bream,5.09,23.97,371.35 - 451.75,Year-round
Manipur,Gilt Head Bream,6.95,10.67,308.13 - 436.5,Year-round
Manipur,Gilt Head Bream,5.21,12.41,293.66 - 345.23,Year-round
Manipur,Gilt Head Bream,16.47,28.71,428.69 - 482.58,Year-round
Manipur,Gilt Head Bream,12.67,10.16,481.52 - 573.01,Year-round
Manipur,Red Sea Bream,13.8,27.43,497.2 - 622.88,Year-round
Manipur,Red Sea Bream,15.14,14.15,373.65 - 480.6,Year-round
Manipur,Red Sea Bream,18.92,37.87,302.57 - 405.34,Year-round
Manipur,Red Sea Bream,12.04,23.29,348.24 - 484.35,Seasonal
Manipur,Red Sea Bream,15.73,27.79,216.0 - 311.48,Seasonal
Manipur,Red Sea Bream,10.44,35.91,233.02 - 375.52,Seasonal
Manipur,Sea Bass,12.51,30.73,409.14 - 524.0,Seasonal
Manipur,Sea Bass,13.32,32.43,443.08 - 534.46,Seasonal
Manipur,Sea Bass,15.58,23.66,400.33 - 534.06,Seasonal
Manipur,Sea Bass,5.91,30.56,207.49 - 274.63,Year-round
Manipur,Sea Bass,17.57,34.08,488.28 - 591.87,Seasonal
Manipur,Sea Bass,19.3,36.45,375.35 - 508.73,Seasonal
Manipur,Red Mullet,18.82,27.5,377.85 - 463.34,Seasonal
Manipur,Red Mullet,15.54,12.0,269.24 - 410.81,Seasonal
Manipur,Red Mullet,18.21,36.49,397.71 - 468.84,Year-round
Manipur,Red Mullet,19.64,30.5,312.63 - 442.64,Seasonal
Manipur,Red Mullet,17.04,39.92,209.01 - 348.74,Year-round
Manipur,Red Mullet,14.05,28.57,482.23 - 609.82,Seasonal
Manipur,Horse Mackerel,10.03,12.01,492.6 - 624.3,Seasonal
Manipur,Horse Mackerel,18.38,19.18,365.56 - 494.5,Year-round
Manipur,Horse Mackerel,8.16,16.88,340.73 - 417.59,Seasonal
Manipur,Horse Mackerel,6.12,23.15,358.96 - 507.49,Year-round
Manipur,Horse Mackerel,19.52,23.19,283.51 - 413.34,Seasonal
Manipur,Horse Mackerel,14.46,16.59,206.16 - 338.82,Seasonal
Manipur,Black Sea Sprat,10.33,30.22,218.77 - 289.82,Seasonal
Manipur,Black Sea Sprat,18.47,33.3,222.94 - 371.62,Seasonal
Manipur,Black Sea Sprat,6.24,24.54,290.73 - 397.07,Seasonal
Manipur,Black Sea Sprat,7.34,24.35,434.17 - 514.53,Seasonal
Manipur,Black Sea Sprat,14.36,18.21,346.35 - 404.58,Year-round
Manipur,Black Sea Sprat,19.76,21.87,414.56 - 492.75,Seasonal
Manipur,Striped Red Mullet,11.88,31.75,372.29 - 489.01,Seasonal
Manipur,Striped Red Mullet,14.96,15.98,213.49 - 276.12,Year-round
Manipur,Striped Red Mullet,19.84,36.69,311.44 - 380.96,Seasonal
Manipur,Striped Red Mullet,12.06,29.68,367.87 - 486.58,Seasonal
Manipur,Striped Red Mullet,10.42,35.79,322.04 - 404.86,Seasonal
Manipur,Striped Red Mullet,11.24,25.42,470.99 - 609.98,Year-round
Manipur,Trout,7.63,27.03,373.79 - 472.76,Year-round
Manipur,Trout,11.04,39.11,479.7 - 603.86,Year-round
Manipur,Trout,7.12,27.13,255.58 - 333.45,Seasonal
Manipur,Trout,12.36,22.2,470.96 - 581.34,Seasonal
Manipur,Trout,19.55,27.14,242.9 - 330.36,Year-round
Manipur,Trout,19.08,36.82,301.24 - 424.19,Year-round
Manipur,Shrimp,16.94,15.25,401.83 - 473.88,Seasonal
Manipur,Shrimp,12.8,25.66,376.68 - 501.85,Year-round
Manipur,Shrimp,18.06,33.78,388.2 - 513.23,Seasonal
Manipur,Shrimp,8.98,26.63,259.85 - 339.25,Seasonal
Manipur,Shrimp,18.81,11.2,287.44 - 358.19,Seasonal
Manipur,Shrimp,16.79,27.7,201.93 - 329.18,Year-round
Meghalaya,Gilt Head Bream,7.32,24.62,329.0 - 438.69,Year-round
Meghalaya,Gilt Head Bream,19.03,21.27,412.44 - 510.01,Year-round
Meghalaya,Gilt Head Bream,5.46,16.13,302.12 - 403.18,Seasonal
Meghalaya,Gilt Head Bream,15.05,24.05,432.07 - 494.41,Seasonal
Meghalaya,Gilt Head Bream,5.52,26.53,331.45 - 465.37,Year-round
Meghalaya,Gilt Head Bream,16.94,32.61,264.65 - 348.25,Seasonal
Meghalaya,Red Sea Bream,15.87,13.35,382.5 - 460.6,Seasonal
Meghalaya,Red Sea Bream,15.43,28.32,259.95 - 315.5,Year-round
Meghalaya,Red Sea Bream,6.88,33.18,271.08 - 388.82,Year-round
Meghalaya,Red Sea Bream,17.53,37.82,309.77 - 391.57,Year-round
Meghalaya,Red Sea Bream,17.4,25.74,432.57 - 506.02,Year-round
Meghalaya,Red Sea Bream,9.39,19.97,288.13 - 342.28,Year-round
Meghalaya,Sea Bass,8.98,28.34,403.55 - 485.3,Seasonal
Meghalaya,Sea Bass,14.29,27.99,351.9 - 436.94,Year-round
Meghalaya,Sea Bass,9.22,38.9,203.09 - 324.69,Year-round
Meghalaya,Sea Bass,10.2,23.07,438.34 - 516.16,Seasonal
Meghalaya,Sea Bass,6.18,23.28,278.31 - 362.65,Seasonal
Meghalaya,Sea Bass,13.12,39.55,481.7 - 576.98,Seasonal
Meghalaya,Red Mullet,5.93,12.77,248.84 - 358.36,Seasonal
Meghalaya,Red Mullet,10.12,23.46,473.97 - 542.91,Seasonal
Meghalaya,Red Mullet,12.06,29.86,425.35 - 550.74,Seasonal
Meghalaya,Red Mullet,7.66,18.83,234.44 - 378.59,Year-round
Meghalaya,Red Mullet,5.1,16.37,399.06 - 490.18,Seasonal
Meghalaya,Red Mullet,17.84,20.7,427.24 - 506.75,Seasonal
Meghalaya,Horse Mackerel,15.37,18.15,257.18 - 325.65,Seasonal
Meghalaya,Horse Mackerel,14.06,35.89,446.75 - 514.08,Year-round
Meghalaya,Horse Mackerel,12.97,18.64,347.85 - 427.84,Seasonal
Meghalaya,Horse Mackerel,16.01,28.97,375.08 - 464.09,Seasonal
Meghalaya,Horse Mackerel,18.54,20.32,419.9 - 535.77,Seasonal
Meghalaya,Horse Mackerel,6.59,36.19,356.94 - 476.91,Seasonal
Meghalaya,Black Sea Sprat,10.99,19.8,203.24 - 335.9,Year-round
Meghalaya,Black Sea Sprat,16.7,12.96,222.7 - 308.85,Year-round
Meghalaya,Black Sea Sprat,19.71,16.44,220.17 - 329.65,Year-round
Meghalaya,Black Sea Sprat,15.5,28.51,459.04 - 531.35,Year-round
Meghalaya,Black Sea Sprat,7.59,27.04,288.91 - 432.74,Seasonal
Meghalaya,Black Sea Sprat,11.35,33.81,209.53 - 337.74,Seasonal
Meghalaya,Striped Red Mullet,10.21,11.51,215.83 - 335.03,Year-round
Meghalaya,Striped Red Mullet,8.27,39.68,372.33 - 436.12,Seasonal
Meghalaya,Striped Red Mullet,10.39,34.71,446.21 - 543.94,Year-round
Meghalaya,Striped Red Mullet,16.91,14.75,215.54 - 321.27,Year-round
Meghalaya,Striped Red Mullet,6.27,24.0,344.64 - 478.73,Seasonal
Meghalaya,Striped Red Mullet,7.74,14.19,372.94 - 499.13,Year-round
Meghalaya,Trout,11.89,19.1,479.77 - 541.63,Seasonal
Meghalaya,Trout,6.15,22.62,380.5 - 524.22,Seasonal
Meghalaya,Trout,11.12,14.84,396.92 - 544.04,Year-round
Meghalaya,Trout,18.92,35.35,267.19 - 341.11,Year-round
Meghalaya,Trout,14.19,38.15,398.53 - 456.21,Year-round
Meghalaya,Trout,8.47,30.44,482.05 - 536.73,Seasonal
Meghalaya,Shrimp,14.18,21.2,276.6 - 337.19,Seasonal
Meghalaya,Shrimp,16.25,25.95,361.33 - 439.14,Year-round
Meghalaya,Shrimp,10.93,15.45,247.04 - 379.77,Seasonal
Meghalaya,Shrimp,7.34,16.6,355.48 - 476.49,Year-round
Meghalaya,Shrimp,8.47,25.07,419.45 - 565.26,Year-round
Meghalaya,Shrimp,17.55,11.51,339.38 - 427.35,Year-round
Mizoram,Gilt Head Bream,14.45,22.1,425.72 - 528.85,Year-round
Mizoram,Gilt Head Bream,16.71,21.95,333.17 - 472.53,Year-round
Mizoram,Gilt Head Bream,17.49,26.21,453.4 - 546.53,Seasonal
Mizoram,Gilt Head Bream,16.52,25.01,330.13 - 405.08,Seasonal
Mizoram,Gilt Head Bream,12.71,19.25,371.91 - 454.43,Year-round
Mizoram,Gilt Head Bream,13.39,34.85,413.85 - 533.52,Year-round
Mizoram,Red Sea Bream,10.93,31.85,303.74 - 420.85,Seasonal
Mizoram,Red Sea Bream,11.61,13.97,314.68 - 426.61,Year-round
Mizoram,Red Sea Bream,19.85,10.77,381.06 - 497.01,Year-round
Mizoram,Red Sea Bream,11.46,19.13,259.43 - 316.0,Year-round
Mizoram,Red Sea Bream,8.34,19.22,363.94 - 455.66,Seasonal
Mizoram,Red Sea Bream,6.96,26.96,332.68 - 462.4,Seasonal
Mizoram,Sea Bass,6.26,21.79,230.07 - 281.73,Seasonal
Mizoram,Sea Bass,7.39,20.07,223.04 - 296.54,Year-round
Mizoram,Sea Bass,17.52,39.24,240.64 - 313.79,Seasonal
Mizoram,Sea Bass,9.17,11.08,478.07 - 549.44,Seasonal
Mizoram,Sea Bass,13.61,21.79,208.6 - 316.92,Seasonal
Mizoram,Sea Bass,16.72,19.41,274.36 - 394.13,Seasonal
Mizoram,Red Mullet,10.97,39.21,363.26 - 440.78,Year-round
Mizoram,Red Mullet,13.49,32.54,239.59 - 340.91,Year-round
Mizoram,Red Mullet,5.76,22.78,449.71 - 580.27,Year-round
Mizoram,Red Mullet,9.76,17.78,226.28 - 285.27,Seasonal
Mizoram,Red Mullet,11.75,20.12,461.21 - 519.56,Seasonal
Mizoram,Red Mullet,9.98,29.88,461.19 - 587.1,Year-round
Mizoram,Horse Mackerel,10.02,21.84,358.98 - 425.12,Seasonal
Mizoram,Horse Mackerel,8.13,18.89,473.24 - 577.98,Year-round
Mizoram,Horse Mackerel,9.02,20.83,322.54 - 440.51,Year-round
Mizoram,Horse Mackerel,17.41,27.55,301.26 - 431.54,Year-round
Mizoram,Horse Mackerel,14.62,17.79,465.83 - 605.39,Seasonal
Mizoram,Horse Mackerel,6.83,13.33,394.43 - 531.94,Year-round
Mizoram,Black Sea Sprat,17.39,30.19,447.31 - 537.0,Seasonal
Mizoram,Black Sea Sprat,14.85,26.05,224.61 - 278.1,Seasonal
Mizoram,Black Sea Sprat,6.22,39.78,246.86 - 395.7,Year-round
Mizoram,Black Sea Sprat,7.54,20.55,428.5 - 529.21,Year-round
Mizoram,Black Sea Sprat,9.34,24.03,385.82 - 476.94,Seasonal
Mizoram,Black Sea Sprat,14.28,29.96,350.21 - 464.7,Year-round
Mizoram,Striped Red Mullet,19.02,30.67,446.98 - 552.6,Seasonal
Mizoram,Striped Red Mullet,14.05,25.71,276.08 - 373.17,Year-round
Mizoram,Striped Red Mullet,19.88,18.82,263.1 - 389.63,Seasonal
Mizoram,Striped Red Mullet,14.04,25.35,218.3 - 297.09,Seasonal
Mizoram,Striped Red Mullet,15.11,35.41,297.3 - 414.95,Year-round
Mizoram,Striped Red Mullet,19.16,32.97,201.62 - 251.76,Seasonal
Mizoram,Trout,9.14,33.06,267.88 - 387.12,Seasonal
Mizoram,Trout,9.86,29.83,395.67 - 470.78,Seasonal
Mizoram,Trout,6.96,28.18,454.83 - 509.33,Year-round
Mizoram,Trout,19.95,15.5,378.24 - 469.38,Year-round
Mizoram,Trout,11.98,10.41,224.48 - 300.34,Seasonal
Mizoram,Trout,12.24,33.32,401.85 - 524.28,Seasonal
Mizoram,Shrimp,9.44,29.91,489.59 - 544.63,Seasonal
Mizoram,Shrimp,13.88,14.98,207.41 - 293.68,Seasonal
Mizoram,Shrimp,6.35,28.03,302.29 - 444.01,Seasonal
Mizoram,Shrimp,7.26,35.55,497.44 - 620.12,Year-round
Mizoram,Shrimp,15.47,37.01,437.66 - 555.29,Seasonal
Mizoram,Shrimp,14.22,27.44,276.09 - 401.72,Seasonal
Nagaland,Gilt Head Bream,8.27,29.86,390.11 - 499.46,Year-round
Nagaland,Gilt Head Bream,5.64,30.54,470.81 - 604.54,Year-round
Nagaland,Gilt Head Bream,10.14,14.04,228.33 - 361.48,Year-round
Nagaland,Gilt Head Bream,12.48,19.55,468.28 - 582.77,Seasonal
Nagaland,Gilt Head Bream,16.7,13.55,200.01 - 321.22,Year-round
Nagaland,Gilt Head Bream,13.32,14.45,227.63 - 359.16,Year-round
Nagaland,Red Sea Bream,19.36,26.97,354.34 - 412.84,Year-round
Nagaland,Red Sea Bream,10.76,29.99,496.65 - 569.22,Seasonal
Nagaland,Red Sea Bream,6.42,19.45,228.99 - 296.68,Year-round
Nagaland,Red Sea Bream,19.65,22.14,226.29 - 282.88,Seasonal
Nagaland,Red Sea Bream,13.74,34.37,298.08 - 378.66,Year-round
Nagaland,Red Sea Bream,12.34,35.79,377.69 - 497.16,Year-round
Nagaland,Sea Bass,14.49,13.85,373.55 - 492.89,Year-round
Nagaland,Sea Bass,8.85,34.12,327.78 - 477.25,Year-round
Nagaland,Sea Bass,14.29,15.6,207.71 - 286.16,Seasonal
Nagaland,Sea Bass,12.38,33.9,269.76 - 342.37,Seasonal
Nagaland,Sea Bass,19.45,13.24,343.55 - 452.1,Seasonal
Nagaland,Sea Bass,16.57,29.56,449.73 - 597.27,Year-round
Nagaland,Red Mullet,13.17,17.01,391.33 - 523.34,Seasonal
Nagaland,Red Mullet,12.85,18.15,319.75 - 429.61,Year-round
Nagaland,Red Mullet,14.2,36.94,442.98 - 551.29,Seasonal
Nagaland,Red Mullet,18.4,12.24,472.32 - 621.98,Seasonal
Nagaland,Red Mullet,15.53,26.69,307.59 - 448.72,Seasonal
Nagaland,Red Mullet,15.99,37.72,492.55 - 625.87,Seasonal
Nagaland,Horse Mackerel,9.97,30.27,318.78 - 444.41,Seasonal
Nagaland,Horse Mackerel,9.61,21.1,365.14 - 494.14,Seasonal
Nagaland,Horse Mackerel,13.77,39.08,313.35 - 369.56,Year-round
Nagaland,Horse Mackerel,6.15,14.98,218.33 - 318.26,Year-round
Nagaland,Horse Mackerel,11.78,20.64,320.21 - 381.73,Seasonal
Nagaland,Horse Mackerel,19.79,10.01,384.19 - 495.84,Seasonal
Nagaland,Black Sea Sprat,14.72,11.84,444.12 - 588.17,Seasonal
Nagaland,Black Sea Sprat,7.03,15.93,254.16 - 330.4,Seasonal
Nagaland,Black Sea Sprat,13.73,22.04,301.43 - 364.11,Year-round
Nagaland,Black Sea Sprat,15.13,11.14,385.99 - 505.81,Seasonal
Nagaland,Black Sea Sprat,13.29,27.86,461.57 - 569.27,Year-round
Nagaland,Black Sea Sprat,8.81,18.86,358.99 - 476.83,Seasonal
Nagaland,Striped Red Mullet,18.62,21.89,288.9 - 353.24,Year-round
Nagaland,Striped Red Mullet,18.05,21.15,384.32 - 486.69,Seasonal
Nagaland,Striped Red Mullet,16.33,27.6,448.53 - 506.55,Year-round
Nagaland,Striped Red Mullet,16.87,37.47,307.94 - 388.64,Year-round
Nagaland,Striped Red Mullet,19.11,13.73,462.54 - 609.63,Year-round
Nagaland,Striped Red Mullet,10.91,28.1,440.51 - 537.46,Seasonal
Nagaland,Trout,13.71,38.08,401.68 - 499.8,Year-round
Nagaland,Trout,16.79,28.54,302.55 - 439.94,Seasonal
Nagaland,Trout,17.22,18.41,239.65 - 333.64,Seasonal
Nagaland,Trout,5.36,13.49,238.13 - 307.06,Seasonal
Nagaland,Trout,10.75,16.49,332.77 - 387.61,Seasonal
Nagaland,Trout,11.62,15.98,279.34 - 379.7,Seasonal
Nagaland,Shrimp,13.32,34.78,389.44 - 517.88,Year-round
Nagaland,Shrimp,5.22,17.42,459.89 - 526.35,Seasonal
Nagaland,Shrimp,8.31,28.77,371.48 - 439.97,Seasonal
Nagaland,Shrimp,17.37,33.63,285.01 - 418.73,Year-round
Nagaland,Shrimp,15.0,12.4,332.55 - 398.89,Year-round
Nagaland,Shrimp,16.13,17.32,379.4 - 467.91,Seasonal
Odisha,Gilt Head Bream,12.68,24.5,314.84 - 448.75,Seasonal
Odisha,Gilt Head Bream,12.12,10.22,207.74 - 313.07,Seasonal
Odisha,Gilt Head Bream,13.49,36.34,367.36 - 513.34,Year-round
Odisha,Gilt Head Bream,18.76,33.33,446.7 - 586.98,Year-round
Odisha,Gilt Head Bream,14.68,11.37,483.79 - 618.01,Seasonal
Odisha,Gilt Head Bream,11.77,38.11,495.21 - 624.86,Seasonal
Odisha,Red Sea Bream,12.78,17.38,307.44 - 456.39,Year-round
Odisha,Red Sea Bream,15.93,11.41,478.42 - 537.53,Seasonal
Odisha,Red Sea Bream,6.15,10.13,401.13 - 515.31,Year-round
Odisha,Red Sea Bream,16.49,22.41,395.89 - 503.85,Seasonal
Odisha,Red Sea Bream,7.66,12.95,487.02 - 596.95,Seasonal
Odisha,Red Sea Bream,19.45,13.44,347.12 - 414.07,Seasonal
Odisha,Sea Bass,7.69,33.93,403.26 - 507.96,Seasonal
Odisha,Sea Bass,9.98,33.45,331.12 - 443.89,Year-round
Odisha,Sea Bass,16.74,39.78,272.2 - 409.63,Seasonal
Odisha,Sea Bass,15.95,24.7,389.22 - 513.18,Seasonal
Odisha,Sea Bass,7.71,33.97,300.26 - 423.34,Seasonal
Odisha,Sea Bass,15.97,21.16,356.57 - 413.36,Seasonal
Odisha,Red Mullet,5.89,30.76,242.0 - 333.58,Seasonal
Odisha,Red Mullet,15.14,28.56,370.57 - 426.48,Seasonal
Odisha,Red Mullet,15.13,21.88,239.9 - 305.78,Year-round
Odisha,Red Mullet,13.58,23.02,238.27 - 329.18,Seasonal
Odisha,Red Mullet,10.33,30.08,345.14 - 436.98,Seasonal
Odisha,Red Mullet,19.08,20.5,273.14 - 388.73,Year-round
Odisha,Horse Mackerel,13.3,27.11,263.03 - 387.26,Seasonal
Odisha,Horse Mackerel,8.82,24.19,212.99 - 332.93,Year-round
Odisha,Horse Mackerel,15.42,27.02,438.87 - 562.38,Seasonal
Odisha,Horse Mackerel,6.96,23.22,295.19 - 436.39,Seasonal
Odisha,Horse Mackerel,13.99,25.41,286.46 - 337.1,Seasonal
Odisha,Horse Mackerel,18.62,17.28,227.39 - 309.26,Seasonal
Odisha,Black Sea Sprat,19.12,15.23,341.49 - 400.64,Seasonal
Odisha,Black Sea Sprat,15.72,20.85,237.61 - 312.97,Year-round
Odisha,Black Sea Sprat,7.94,10.68,458.5 - 566.21,Year-round
Odisha,Black Sea Sprat,9.74,28.81,442.52 - 553.68,Seasonal
Odisha,Black Sea Sprat,18.7,27.16,254.24 - 331.12,Seasonal
Odisha,Black Sea Sprat,16.86,21.54,330.8 - 440.2,Year-round
Odisha,Striped Red Mullet,11.4,28.46,224.47 - 283.25,Seasonal
Odisha,Striped Red Mullet,16.59,31.45,373.69 - 425.15,Year-round
Odisha,Striped Red Mullet,17.18,10.42,394.81 - 511.7,Year-round
Odisha,Striped Red Mullet,9.4,17.98,299.83 - 405.57,Year-round
Odisha,Striped Red Mullet,11.88,26.94,398.91 - 516.81,Year-round
Odisha,Striped Red Mullet,5.28,32.08,262.52 - 325.81,Year-round
Odisha,Trout,5.74,16.93,469.22 - 544.83,Year-round
Odisha,Trout,18.55,10.74,262.84 - 354.46,Year-round
Odisha,Trout,8.59,32.74,428.0 - 509.26,Seasonal
Odisha,Trout,18.98,28.61,441.13 - 499.5,Year-round
Odisha,Trout,9.55,33.46,429.76 - 548.92,Seasonal
Odisha,Trout,9.93,11.63,254.74 - 401.26,Seasonal
Odisha,Shrimp,13.63,16.2,351.34 - 432.56,Seasonal
Odisha,Shrimp,8.1,19.4,390.82 - 480.65,Seasonal
Odisha,Shrimp,9.04,15.96,435.02 - 575.94,Seasonal
Odisha,Shrimp,16.93,19.71,429.56 - 493.87,Year-round
Odisha,Shrimp,19.34,21.3,301.77 - 358.02,Year-round
Odisha,Shrimp,9.01,34.37,224.72 - 334.72,Year-round
Punjab,Gilt Head Bream,18.13,19.07,457.61 - 593.33,Seasonal
Punjab,Gilt Head Bream,9.11,37.35,229.25 - 364.59,Seasonal
Punjab,Gilt Head Bream,9.97,25.02,393.72 - 494.77,Year-round
Punjab,Gilt Head Bream,9.59,11.91,253.14 - 303.65,Year-round
Punjab,Gilt Head Bream,19.29,19.86,398.69 - 523.88,Seasonal
Punjab,Gilt Head Bream,18.07,18.68,434.96 - 565.29,Year-round
Punjab,Red Sea Bream,15.58,32.26,403.32 - 478.55,Year-round
Punjab,Red Sea Bream,14.58,19.21,457.9 - 603.85,Seasonal
Punjab,Red Sea Bream,17.74,21.5,250.48 - 384.13,Year-round
Punjab,Red Sea Bream,14.54,22.05,373.35 - 454.14,Year-round
Punjab,Red Sea Bream,11.91,34.86,448.87 - 569.81,Seasonal
Punjab,Red Sea Bream,11.03,24.06,411.69 - 553.91,Year-round
Punjab,Sea Bass,18.19,31.76,233.78 - 324.55,Seasonal
Punjab,Sea Bass,9.89,12.13,304.94 - 441.19,Year-round
Punjab,Sea Bass,9.06,17.46,482.62 - 562.44,Seasonal
Punjab,Sea Bass,19.66,27.48,498.64 - 639.79,Year-round
Punjab,Sea Bass,19.64,21.07,307.16 - 391.57,Seasonal
Punjab,Sea Bass,7.51,23.88,209.98 - 272.17,Year-round
Punjab,Red Mullet,7.08,39.48,274.99 - 332.33,Seasonal
Punjab,Red Mullet,18.04,25.9,340.39 - 431.47,Seasonal
Punjab,Red Mullet,7.94,34.61,394.62 - 486.52,Year-round
Punjab,Red Mullet,9.15,11.38,479.25 - 595.33,Seasonal
Punjab,Red Mullet,13.94,39.87,330.58 - 472.65,Seasonal
Punjab,Red Mullet,10.65,27.12,343.61 - 479.82,Seasonal
Punjab,Horse Mackerel,5.0,37.45,453.16 - 577.39,Year-round
Punjab,Horse Mackerel,16.29,31.99,462.86 - 585.14,Year-round
Punjab,Horse Mackerel,11.46,13.57,353.72 - 438.6,Year-round
Punjab,Horse Mackerel,16.16,31.33,270.35 - 395.29,Seasonal
Punjab,Horse Mackerel,19.91,16.98,216.15 - 285.14,Seasonal
Punjab,Horse Mackerel,14.37,12.43,335.66 - 459.57,Year-round
Punjab,Black Sea Sprat,15.13,25.27,458.43 - 595.04,Year-round
Punjab,Black Sea Sprat,5.48,26.05,211.31 - 342.12,Seasonal
Punjab,Black Sea Sprat,19.8,32.64,274.58 - 378.42,Seasonal
Punjab,Black Sea Sprat,10.98,35.89,280.12 - 383.59,Year-round
Punjab,Black Sea Sprat,5.1,22.1,270.43 - 402.31,Seasonal
Punjab,Black Sea Sprat,18.56,12.06,497.57 - 642.71,Year-round
Punjab,Striped Red Mullet,8.5,12.05,256.14 - 361.69,Year-round
Punjab,Striped Red Mullet,8.36,20.9,331.59 - 479.34,Seasonal
Punjab,Striped Red Mullet,12.39,19.9,232.04 - 377.38,Seasonal
Punjab,Striped Red Mullet,15.63,39.81,294.39 - 411.79,Year-round
Punjab,Striped Red Mullet,16.75,13.67,390.47 - 452.86,Seasonal
Punjab,Striped Red Mullet,5.31,32.83,212.82 - 349.29,Seasonal
Punjab,Trout,6.17,38.66,274.09 - 410.05,Seasonal
Punjab,Trout,11.6,24.49,263.69 - 325.24,Seasonal
Punjab,Trout,19.02,37.28,445.89 - 584.71,Seasonal
Punjab,Trout,14.09,25.11,463.52 - 608.78,Seasonal
Punjab,Trout,13.17,14.8,407.37 - 474.13,Year-round
Punjab,Trout,11.71,34.89,396.42 - 487.54,Year-round
Punjab,Shrimp,7.34,26.41,226.23 - 313.97,Year-round
Punjab,Shrimp,7.79,38.52,262.97 - 339.06,Year-round
Punjab,Shrimp,10.28,11.29,253.73 - 342.95,Year-round
Punjab,Shrimp,15.59,25.11,448.75 - 549.56,Seasonal
Punjab,Shrimp,10.72,33.26,302.78 - 415.54,Year-round
Punjab,Shrimp,14.5,23.51,359.33 - 483.9,Seasonal
Rajasthan,Gilt Head Bream,14.38,34.25,220.71 - 304.19,Seasonal
Rajasthan,Gilt Head Bream,15.07,37.79,385.75 - 518.23,Seasonal
Rajasthan,Gilt Head Bream,17.22,21.46,239.68 - 309.35,Year-round
Rajasthan,Gilt Head Bream,14.87,26.93,479.89 - 588.54,Seasonal
Rajasthan,Gilt Head Bream,10.44,34.72,261.23 - 358.13,Seasonal
Rajasthan,Gilt Head Bream,12.09,21.35,355.19 - 446.5,Year-round
Rajasthan,Red Sea Bream,15.26,10.76,407.01 - 488.62,Seasonal
Rajasthan,Red Sea Bream,15.88,20.81,226.12 - 296.34,Seasonal
Rajasthan,Red Sea Bream,7.21,18.94,226.93 - 368.01,Seasonal
Rajasthan,Red Sea Bream,10.96,17.37,443.7 - 527.98,Year-round
Rajasthan,Red Sea Bream,7.43,38.97,261.74 - 385.89,Year-round
Rajasthan,Red Sea Bream,11.66,18.47,224.29 - 361.95,Seasonal
Rajasthan,Sea Bass,7.49,37.49,298.35 - 385.56,Year-round
Rajasthan,Sea Bass,6.72,10.12,350.6 - 458.92,Year-round
Rajasthan,Sea Bass,18.21,11.49,277.12 - 373.62,Year-round
